COUNTY DEM REP OTHER
COUNTY DEM REP OTHER
Apache 12763 6099 27
Cochise 14298 21201 0
Coconino 25065 15177 0
Gila 6759 12097 42
Graham 3070 7673 0
Greenlee 826 1321 0
"La Paz" 1434 3215 21
Maricopa 585031 538031 0
Mohave 18162 52684 184
Navajo 14947 17808 60
Pima 162320 110188 524
Pinal 48478 66490 155
"Santa Cruz" 7154 3578 25
Yavapai 37589 63723 202
Yuma 15887 21431 0
