COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ALBANY 99474 779 1523 1870 51081
ALLEGANY 6048 88 338 286 14135
BRONX 355374 1420 775 7090 67740
BROOME 47010 432 1104 1148 43800
CATTARAUGUS 11879 113 450 421 22155
CAYUGA 16149 185 399 515 19512
CHAUTAUQUA 23087 203 756 871 34853
CHEMUNG 16636 117 560 476 21922
CHENANGO 8290 107 316 222 13482
CLINTON 18364 121 279 359 16514
COLUMBIA 20386 185 357 389 14464
CORTLAND 10369 113 295 326 10789
DELAWARE 9143 81 268 195 13387
DUTCHESS 81443 578 1247 1749 66872
ERIE 267174 1986 4439 5661 197527
ESSEX 9947 73 173 301 8976
FRANKLIN 9253 77 173 249 9668
FULTON 7931 73 248 442 15378
GENESEE 9625 109 456 365 18876
GREENE 10346 121 305 277 14271
HAMILTON 1178 7 41 38 2225
HERKIMER 9937 98 298 357 18870
JEFFERSON 17307 186 537 470 25629
KINGS 703310 3978 2504 7816 202772
LEWIS 3824 46 126 146 8894
LIVINGSTON 12477 128 460 409 18182
MADISON 14807 185 476 390 18408
MONROE 225746 1529 4865 5698 145661
MONTGOMERY 7977 87 242 195 12745
"NASSAU" 396504 1924 3594 9631 326716
"NEW YORK" 603040 2694 3329 7157 85185
NIAGARA 46029 371 1133 1265 56068
ONEIDA 41567 388 1184 1377 57180
ONONDAGA 138894 1820 2554 1799 90619
ONTARIO 29025 277 987 757 29039
ORANGE 84684 524 1388 1713 84996
ORLEANS 5587 50 313 238 12126
OSWEGO 21143 284 697 590 32138
OTSEGO 12975 136 409 321 14382
PUTNAM 24953 162 411 509 29283
QUEENS 569038 2969 2483 7343 212665
RENSSELAER 40969 374 1016 1103 36500
RICHMOND 90997 662 909 2011 123320
ROCKLAND 75802 323 650 1420 73186
SARATOGA 68471 511 1737 1532 61305
SCHENECTADY 42465 352 923 900 30741
SCHOHARIE 5345 75 282 205 9903
SCHUYLER 3903 51 130 94 5621
SENECA 6914 73 193 209 8329
"ST. LAWRENCE" 19361 201 437 660 24608
STEUBEN 15790 164 570 518 29474
SUFFOLK 368000 2066 4458 7532 375821
SULLIVAN 15489 123 247 608 18665
TIOGA 9634 92 416 237 14791
TOMPKINS 33619 365 474 494 11096
ULSTER 57970 618 879 1103 37590
WARREN 17642 204 424 425 17699
WASHINGTON 11565 128 340 282 15941
WAYNE 17456 184 656 531 26204
WESTCHESTER 312371 1280 2569 1332 144713
WYOMING 5073 63 267 182 13898
YATES 4219 40 165 156 6208
