COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ADAMS 134202 744 3731 2406 95657
ALAMOSA 3759 23 90 123 3813
ARAPAHOE 213607 926 5423 2904 127323
ARCHULETA 3738 19 120 78 5189
BACA 317 3 26 12 1867
BENT 732 6 15 18 1503
BOULDER 159089 697 2539 1285 42501
BROOMFIELD 29077 104 772 384 16295
CHAFFEE 7160 46 189 101 6222
CHEYENNE 131 0 6 6 993
"CLEAR CREEK" 3604 23 113 54 2754
CONEJOS 1959 9 34 45 2286
COSTILLA 1311 4 15 23 741
CROWLEY 437 0 22 20 1271
CUSTER 1112 5 29 15 2474
DELTA 5887 45 218 139 13081
DENVER 313293 1230 4870 2818 71618
DOLORES 341 1 5 13 1089
DOUGLAS 104653 432 3715 1535 121270
EAGLE 18588 78 377 205 9892
"EL PASO" 161941 1135 9264 3683 202828
ELBERT 4490 31 306 129 14027
FREMONT 7369 59 397 215 17517
GARFIELD 15427 99 424 237 14717
GILPIN 2223 17 70 43 1833
GRAND 4710 31 174 72 4883
GUNNISON 7132 39 210 74 3735
HINSDALE 255 1 10 13 353
HUERFANO 2076 12 71 44 2203
JACKSON 175 2 12 6 681
JEFFERSON 218396 1089 6394 3062 148417
KIOWA 98 0 9 1 795
"KIT CARSON" 662 2 34 29 3144
"LA PLATA" 20548 128 530 228 14233
LAKE 2303 23 101 37 1497
LARIMER 126120 727 4089 1913 91489
"LAS ANIMAS" 3497 17 86 77 4284
LINCOLN 470 1 26 19 2135
LOGAN 2218 16 139 72 8087
MESA 31536 188 1306 699 56894
MINERAL 317 0 3 9 427
MOFFAT 1203 7 97 49 5670
MONTEZUMA 5836 33 192 133 9306
MONTROSE 7687 49 285 131 16770
MORGAN 3876 26 151 98 9593
OTERO 3605 16 88 111 5756
OURAY 2365 12 46 20 1577
PARK 4903 56 238 103 6991
PHILLIPS 486 7 24 10 1958
PITKIN 8989 41 94 53 2780
PROWERS 1458 9 39 47 4008
PUEBLO 43772 205 1200 872 42252
"RIO BLANCO" 561 3 42 24 3061
"RIO GRANDE" 2495 11 66 73 3660
ROUTT 10582 37 236 96 5925
SAGUACHE 1884 13 39 40 1413
"SAN JUAN" 342 2 7 9 202
"SAN MIGUEL" 3924 14 52 21 1136
SEDGWICK 301 1 8 15 1121
SUMMIT 12631 60 353 113 5322
TELLER 5278 25 267 128 11241
WASHINGTON 369 5 25 14 2595
WELD 66060 340 2895 1534 96145
YUMA 785 2 52 35 4107
