COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
BEAVERHEAD 1143 353 3353
"BIG HORN" 2094 290 1853
BLAINE 1202 214 1268
BROADWATER 573 212 2348
CARBON 1828 415 3748
CARTER 70 38 678
CASCADE 12175 2764 19632
CHOUTEAU 732 192 1679
CUSTER 1176 352 3657
DANIELS 168 64 730
DAWSON 787 267 3320
"DEER LODGE" 2058 385 1763
FALLON 154 51 1279
FERGUS 1202 369 4269
FLATHEAD 13293 3038 30240
GALLATIN 24246 5771 23802
GARFIELD 34 31 653
GLACIER 3121 334 1620
"GOLDEN VALLEY" 71 38 365
GRANITE 472 113 1192
HILL 2371 596 3478
JEFFERSON 1998 539 4177
"JUDITH BASIN" 235 101 872
LAKE 4776 875 7530
"LEWIS AND CLARK" 14478 3105 16895
LIBERTY 206 57 698
LINCOLN 2041 560 6729
MADISON 1180 301 3297
MCCONE 154 44 862
MEAGHER 193 55 729
MINERAL 519 163 1330
MISSOULA 31543 5410 22250
MUSSELSHELL 332 142 1967
PARK 3595 784 4980
PETROLEUM 30 14 278
PHILLIPS 318 130 1723
PONDERA 738 186 1799
"POWDER RIVER" 127 42 884
POWELL 551 214 2029
PRAIRIE 100 33 556
RAVALLI 6223 1523 14810
RICHLAND 671 292 3908
ROOSEVELT 1560 295 1797
ROSEBUD 987 213 2253
SANDERS 1218 449 4286
SHERIDAN 477 117 1241
"SILVER BOW" 8619 1457 6376
STILLWATER 908 304 3661
"SWEET GRASS" 402 110 1595
TETON 808 210 2170
TOOLE 402 138 1497
TREASURE 59 33 351
VALLEY 886 310 2698
WHEATLAND 179 65 702
WIBAUX 55 23 463
YELLOWSTONE 22171 6017 40920
