COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
"CARSON CITY" 11623 638 11419
CHURCHILL 3494 279 6832
CLARK 380765 13329 257078
DOUGLAS 10672 584 14648
ELKO 4541 509 10969
ESMERALDA 104 32 303
EUREKA 144 37 564
HUMBOLDT 1909 169 3586
LANDER 577 59 1466
LINCOLN 518 91 1498
LYON 8405 544 12154
MINERAL 1082 94 1131
NYE 7226 728 9537
PERSHING 673 88 1075
STOREY 1102 69 1247
WASHOE 99671 3863 76880
"WHITE PINE" 1230 172 2440
