COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ALACHUA 89704 302 1390 236 50972
BAKER 2037 10 93 8 11911
BAY 25614 142 1004 167 66097
BRADFORD 3160 11 110 17 10334
BREVARD 148549 553 3178 601 207883
BROWARD 618752 1253 3114 1144 333409
CALHOUN 1209 4 29 10 5274
CHARLOTTE 42273 129 565 130 73243
CITRUS 27092 86 548 130 65352
CLAY 38317 153 1286 169 84480
COLLIER 77621 186 889 172 128950
COLUMBIA 8914 28 224 40 23836
DESOTO 4259 8 52 27 8313
DIXIE 1365 5 27 11 6759
DUVAL 252556 772 4788 942 233762
ESCAMBIA 70929 256 2146 367 96674
FLAGLER 28161 69 359 84 43043
FRANKLIN 2120 12 27 15 4675
GADSDEN 16153 21 96 27 7465
GILCHRIST 1700 13 61 16 7895
GLADES 1385 4 21 1 3782
GULF 1985 5 48 12 6113
HAMILTON 1963 8 33 11 3815
HARDEE 2298 8 40 17 6122
HENDRY 4929 13 65 27 7906
HERNANDO 37519 151 686 154 70412
HIGHLANDS 16938 53 223 83 34873
HILLSBOROUGH 376367 1187 5665 1446 327398
HOLMES 924 9 48 7 8080
"INDIAN RIVER" 37844 117 534 117 58872
JACKSON 6766 13 116 36 15488
JEFFERSON 3897 13 46 16 4479
LAFAYETTE 510 2 14 4 3128
LAKE 83505 254 1385 311 125859
LEE 157695 440 2016 501 233247
LEON 103517 271 1344 344 57453
LEVY 6205 25 131 35 16749
LIBERTY 694 2 14 5 2846
MADISON 3747 13 32 12 5576
MANATEE 90166 258 1287 260 124987
MARION 74858 228 1180 284 127826
MARTIN 36893 105 448 112 61168
MIAMI-DADE 617864 1289 3329 1501 532833
MONROE 21881 51 348 56 25693
"NASSAU" 15564 43 569 69 42566
OKALOOSA 34248 183 1881 263 79798
OKEECHOBEE 4390 7 66 21 11470
ORANGE 395014 1146 4685 1160 245398
OSCEOLA 97297 290 964 405 73480
"PALM BEACH" 433572 891 3040 944 334711
PASCO 119073 467 2265 544 179621
PINELLAS 277450 912 4268 876 276209
POLK 145049 425 2595 601 194586
PUTNAM 10527 50 226 56 25514
"SANTA ROSA" 27612 122 1645 164 77385
SARASOTA 120110 284 1507 304 148370
SEMINOLE 132528 406 2215 425 125241
"ST. JOHNS" 63850 210 1413 203 110946
"ST. LUCIE" 84137 209 768 224 86831
SUMTER 29341 39 269 75 62761
SUWANNEE 4485 23 119 20 16410
TAYLOR 2299 11 52 14 7751
UNION 1053 5 42 12 5133
VOLUSIA 130575 390 2156 497 173821
WAKULLA 5351 18 135 26 12874
WALTON 10338 43 336 47 32947
WASHINGTON 2347 15 69 20 9876
