COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
AITKIN 3607 24 55 81 6258
ANOKA 100893 731 2475 2131 104902
BECKER 6589 35 168 171 12438
BELTRAMI 11426 75 256 244 12188
BENTON 7280 81 351 166 14382
"BIG STONE" 1053 14 14 30 1863
"BLUE EARTH" 18330 139 477 374 16731
BROWN 4753 38 136 156 9552
CARLTON 10098 61 231 188 9791
CARVER 30774 141 822 615 34009
CASS 6342 60 111 156 11620
CHIPPEWA 2226 12 58 65 4250
CHISAGO 11806 111 464 273 21916
CLAY 16357 101 410 328 15043
CLEARWATER 1260 14 28 34 3372
COOK 2496 15 36 56 1203
COTTONWOOD 1834 13 55 40 4165
"CROW WING" 13726 92 357 322 25676
DAKOTA 146155 827 2957 2682 109638
DODGE 4079 39 167 119 7783
DOUGLAS 7868 56 238 204 15799
FARIBAULT 2531 19 72 101 5191
FILLMORE 4551 24 135 130 7301
FREEBORN 6889 51 146 154 9578
GOODHUE 11806 102 397 279 16052
GRANT 1300 8 43 34 2269
HENNEPIN 532623 2448 7526 7399 205973
HOUSTON 4853 29 114 110 6334
HUBBARD 4462 48 134 119 8202
ISANTI 7138 79 304 223 16491
ITASCA 10786 77 247 212 15239
JACKSON 1745 12 53 61 3948
KANABEC 2774 23 93 74 6278
KANDIYOHI 8440 53 211 226 14437
KITTSON 1006 8 44 35 1546
KOOCHICHING 2659 17 60 55 4131
"LAC QUI PARLE" 1446 7 20 39 2528
LAKE 3647 26 78 58 3393
"LAKE OF THE WOODS" 671 4 22 7 1704
"LE SUEUR" 5672 42 169 160 10775
LINCOLN 937 6 23 28 2121
LYON 4634 28 140 112 7979
MAHNOMEN 1112 6 9 35 1142
MARSHALL 1295 8 37 52 3721
MARTIN 3305 24 98 102 7480
MCLEOD 6413 58 292 184 13986
MEEKER 3867 41 122 140 9359
"MILLE LACS" 4404 31 181 121 9952
MORRISON 4367 52 173 145 14821
MOWER 8899 47 177 197 10025
MURRAY 1449 10 32 42 3363
NICOLLET 9622 78 222 185 9018
NOBLES 2933 19 59 104 5600
NORMAN 1404 10 31 43 1953
OLMSTED 49491 263 1078 861 39692
"OTTER TAIL" 11958 76 257 308 23800
PENNINGTON 2568 12 103 62 4532
PINE 5419 51 168 107 10256
PIPESTONE 1306 12 25 44 3553
POLK 5439 29 123 138 9865
POPE 2477 16 56 56 4417
RAMSEY 211620 1062 2865 3054 77376
"RED LAKE" 691 7 18 26 1454
REDWOOD 2355 11 76 71 5771
RENVILLE 2496 19 68 78 5467
RICE 17402 115 372 333 17464
ROCK 1556 13 35 53 3583
ROSEAU 2188 18 81 69 6065
"SAINT LOUIS" 67704 396 1388 1026 49017
SCOTT 40040 240 1048 765 45872
SHERBURNE 18065 153 734 438 36222
SIBLEY 2417 22 71 78 5864
STEARNS 31879 275 1036 686 50959
STEELE 7917 69 278 208 12656
STEVENS 1922 18 44 57 3044
SWIFT 1784 11 42 40 3316
TODD 3286 23 85 110 9753
TRAVERSE 661 5 12 14 1172
WABASHA 4696 33 133 108 8153
WADENA 2023 14 54 66 5520
WASECA 3496 34 123 112 6624
WASHINGTON 89165 477 1895 1485 73764
WATONWAN 1987 16 28 67 3103
WILKIN 1026 5 41 30 2328
WINONA 13333 80 272 261 13227
WRIGHT 28430 273 992 758 51973
"YELLOW MEDICINE" 1688 11 45 50 3734
