COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
BARNSTABLE 91994 638 1856 1713 55311
BERKSHIRE 51705 465 927 610 18064
BRISTOL 153377 1427 3667 3021 119872
DUKES 9914 82 138 108 2631
ESSEX 267198 1899 5356 5309 144837
FRANKLIN 30030 380 692 700 11201
HAMPDEN 125948 1166 2971 3390 87318
HAMPSHIRE 63362 768 1086 835 22281
MIDDLESEX 617196 4484 10649 10062 226956
"NANTUCKET" 5241 41 81 61 1914
NORFOLK 273312 1753 5191 5492 125294
PLYMOUTH 173630 1324 4310 3379 121227
SUFFOLK 270522 1695 2959 3451 58613
WORCESTER 248773 2536 7130 4799 171683
