COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ALLEGANY 10894 610 211 14656
"ANNE ARUNDEL" 89624 5493 1331 104209
BALTIMORE 160635 8544 1872 133033
"BALTIMORE CITY" 158765 5512 977 27150
CALVERT 12986 660 156 16004
CAROLINE 3396 198 58 5300
CARROLL 20146 1681 458 41742
CECIL 12327 794 261 15494
CHARLES 21873 755 196 21768
DORCHESTER 5232 222 91 5847
FREDERICK 30725 2052 534 45350
GARRETT 2872 203 66 7514
HARFORD 35665 2298 599 52862
HOWARD 58556 3643 771 49809
KENT 3627 270 33 4155
MONTGOMERY 232453 12485 2170 124580
"PRINCE GEORGE'S" 216119 4497 1306 49987
"QUEEN ANNE'S" 6257 446 88 9970
SOMERSET 3785 142 68 3609
"ST. MARY'S" 11912 568 165 16856
TALBOT 5854 424 82 8874
WASHINGTON 18221 1027 274 27948
WICOMICO 14469 762 226 16338
WORCESTER 9389 482 140 10742
