COUNTY DEM OTH REP
COUNTY Kerry_D Other_O Bush_R
ACADIA 8937 210 16083
ALLEN 3791 193 5140
ASCENSION 13955 484 24661
ASSUMPTION 5585 184 4966
AVOYELLES 6976 247 8302
BEAUREGARD 3666 145 9470
BIENVILLE 3399 146 3612
BOSSIER 12317 348 30040
CADDO 51739 564 54292
CALCASIEU 32864 759 46075
CALDWELL 1384 60 3308
CAMERON 1367 83 3190
CATAHOULA 1673 62 3219
CLAIBORNE 2854 72 3704
CONCORDIA 3446 107 5427
"DE SOTO" 5026 99 6211
"EAST BATON ROUGE" 82298 1401 99943
"EAST CARROLL" 1980 58 1357
"EAST FELICIANA" 4091 89 5021
EVANGELINE 5757 273 7949
FRANKLIN 2828 134 6141
GRANT 1977 103 5911
IBERIA 12426 427 19420
IBERVILLE 8259 235 6333
JACKSON 2525 84 5038
JEFFERSON 72136 1645 117882
"JEFFERSON DAVIS" 4745 207 8055
"LA SALLE" 1155 68 5015
LAFAYETTE 31210 981 57732
LAFOURCHE 14417 713 22734
LINCOLN 7242 185 10791
LIVINGSTON 9895 382 33976
MADISON 2334 48 2291
MOREHOUSE 5336 164 7471
"NATCHITOCHES" 7398 307 9261
ORLEANS 152610 1646 42847
OUACHITA 22016 678 41750
PLAQUEMINES 4181 106 7866
"POINTE COUPEE" 5712 130 5429
RAPIDES 18904 673 34492
"RED RIVER" 2140 70 2507
RICHLAND 3082 112 5471
SABINE 2743 122 6711
"ST. BERNARD" 9956 285 19597
"ST. CHARLES" 8856 234 14747
"ST. HELENA" 3173 100 2235
"ST. JAMES" 6407 156 4545
"ST. JOHN THE BAPTIST" 10305 273 9039
"ST. LANDRY" 18166 279 18315
"ST. MARTIN" 10321 408 12095
"ST. MARY" 9547 270 12877
"ST. TAMMANY" 24665 788 75139
TANGIPAHOA 15345 609 26181
TENSAS 1469 41 1453
TERREBONNE 13684 532 26358
UNION 3089 172 7457
VERMILION 9085 398 15069
VERNON 4035 162 11032
WASHINGTON 6554 281 11006
WEBSTER 6833 546 11070
"WEST BATON ROUGE" 4932 81 5822
"WEST CARROLL" 1231 62 3740
"WEST FELICIANA" 2214 72 2932
WINN 2056 85 4366
