COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
FAIRFIELD 297505 1681 4593 172 168445
HARTFORD 283368 1773 5039 132 159024
LITCHFIELD 50164 485 1280 14 55601
MIDDLESEX 56848 444 1210 31 40665
"NEW HAVEN" 242630 1693 3661 106 169893
"NEW LONDON" 79459 757 2256 22 57110
TOLLAND 44151 398 1277 50 34838
WINDHAM 26706 307 914 14 29141
