COUNTY DEM LIB OTH REP
COUNTY Biden_D Jorgensen_L Other_O Trump_R
"CARSON CITY" 12735 432 459 16113
CHURCHILL 3048 282 184 9367
CLARK 521777 8755 10967 430809
DOUGLAS 11570 407 517 21623
ELKO 4555 374 294 16734
ESMERALDA 72 6 7 395
EUREKA 104 6 11 887
HUMBOLDT 1689 104 101 5877
LANDER 496 36 35 2198
LINCOLN 330 17 32 2067
LYON 8472 461 390 20906
MINERAL 824 35 48 1420
NYE 7287 243 319 17527
PERSHING 547 15 27 1731
STOREY 900 34 33 1901
WASHOE 128052 3524 3727 116653
"WHITE PINE" 856 43 64 3400
