COUNTY DEM LIB REP
COUNTY Biden_D Jorgensen_L Trump_R
ALLEN 1570 104 4218
ANDERSON 782 81 2929
ATCHISON 2359 175 4906
BARBER 291 37 2014
BARTON 2340 182 8608
BOURBON 1541 112 5023
BROWN 1104 105 3262
BUTLER 9181 705 22634
CHASE 345 23 1123
CHAUTAUQUA 212 25 1402
CHEROKEE 2194 168 6766
CHEYENNE 224 22 1183
CLARK 143 20 904
CLAY 894 111 3177
CLOUD 920 101 3242
COFFEY 964 112 3489
COMANCHE 126 28 762
COWLEY 4273 302 9656
CRAWFORD 6179 421 10045
DECATUR 218 20 1260
DICKINSON 2060 163 7126
DONIPHAN 686 47 2976
DOUGLAS 40785 1424 17286
EDWARDS 271 19 1141
ELK 195 26 1140
ELLIS 3737 305 9758
ELLSWORTH 648 57 2148
FINNEY 4325 239 7236
FORD 2947 165 5803
FRANKLIN 3690 308 8479
GEARY 3983 297 5323
GOVE 166 14 1291
GRAHAM 228 29 1080
GRANT 518 47 1936
GRAY 341 36 1911
GREELEY 78 14 549
GREENWOOD 569 64 2444
HAMILTON 141 20 698
HARPER 461 49 2168
HARVEY 6747 380 10182
HASKELL 268 20 1122
HODGEMAN 154 16 875
JACKSON 1881 186 4517
JEFFERSON 3194 254 6334
JEWELL 212 29 1387
JOHNSON 184259 7324 155631
KEARNY 267 24 1164
KINGMAN 752 67 3130
KIOWA 156 29 980
LABETTE 2655 173 5735
LANE 115 18 762
LEAVENWORTH 13886 994 21610
LINCOLN 266 30 1283
LINN 896 102 4048
LOGAN 186 23 1249
LYON 6055 383 7550
MARION 1516 130 4465
MARSHALL 1259 126 3729
MCPHERSON 4134 340 9964
MEADE 263 39 1523
MIAMI 5247 382 12308
MITCHELL 558 39 2504
MONTGOMERY 3228 267 9931
MORRIS 729 46 2124
MORTON 150 14 1034
NEMAHA 927 93 4664
NEOSHO 1796 111 4970
NESS 149 25 1339
NORTON 364 44 2007
OSAGE 2136 194 5705
OSBORNE 281 35 1629
OTTAWA 506 75 2610
PAWNEE 643 51 2045
PHILLIPS 318 45 2418
POTTAWATOMIE 3313 318 9452
PRATT 933 96 3108
RAWLINS 214 29 1261
RENO 8886 612 18443
REPUBLIC 424 51 2182
RICE 965 92 3262
RILEY 12765 796 11610
ROOKS 339 35 2325
RUSH 295 32 1350
RUSSELL 600 77 2790
SALINE 8214 595 15722
SCOTT 299 41 2014
SEDGWICK 95870 5402 122416
SEWARD 1833 89 3372
SHAWNEE 43015 2199 40443
SHERIDAN 147 16 1282
SHERMAN 396 62 2269
SMITH 336 30 1763
STAFFORD 357 32 1645
STANTON 148 14 614
STEVENS 237 34 1760
SUMNER 2591 232 8105
THOMAS 625 55 3130
TREGO 242 25 1363
WABAUNSEE 964 93 2845
WALLACE 44 11 770
WASHINGTON 475 45 2363
WICHITA 149 11 808
WILSON 723 78 3153
WOODSON 294 24 1228
WYANDOTTE 36788 1063 18934
