COUNTY DEM REP LIB OTHER
COUNTY DEM REP LIB OTHER
Apache 12923 5568 411 5
Cochise 14355 19197 993 44
Coconino 25649 13967 885 0
Gila 7024 11416 517 18
Graham 2960 6407 235 12
Greenlee 880 1193 92 0
"La Paz" 1491 3052 137 6
Maricopa 565233 479982 22312 0
Mohave 18765 50406 1844 64
Navajo 15559 16652 745 13
Pima 150382 83523 4428 158
Pinal 50103 62483 2933 49
"Santa Cruz" 7372 3185 255 6
Yavapai 37910 60586 2115 80
Yuma 16817 19644 1002 0
