COUNTY DEM LIB REP
COUNTY Biden_D Jorgensen_L Trump_R
APPLING 1779 36 6526
ATKINSON 825 30 2300
BACON 625 25 4018
BAKER 652 6 897
BALDWIN 9140 208 8903
BANKS 932 74 7795
BARROW 10453 664 26804
BARTOW 12092 701 37674
"BEN HILL" 2392 58 4110
BERRIEN 1269 55 6419
BIBB 43468 749 26585
BLECKLEY 1311 67 4328
BRANTLEY 699 56 6991
BROOKS 2790 50 4260
BRYAN 6739 357 14244
BULLOCH 11243 455 18386
BURKE 5209 75 5400
BUTTS 3274 91 8406
CALHOUN 1260 11 923
CAMDEN 7967 470 15251
CANDLER 1269 29 3133
CARROLL 16238 760 37476
CATOOSA 6932 494 25167
CHARLTON 1103 44 3419
CHATHAM 78254 1929 53237
CHATTAHOOCHEE 667 35 880
CHATTOOGA 1854 132 8064
CHEROKEE 42794 2449 99587
CLARKE 36048 839 14446
CLAY 790 7 637
CLAYTON 95476 1055 15813
CLINCH 747 12 2105
COBB 221846 6441 165459
COFFEE 4511 125 10578
COLQUITT 4187 119 11777
COLUMBIA 29236 1330 50013
COOK 2059 76 4900
COWETA 24210 1088 51501
CRAWFORD 1615 59 4428
CRISP 2986 66 4987
DADE 1261 107 6066
DAWSON 2486 197 13398
DECATUR 4780 89 6758
DEKALB 308227 4204 58373
DODGE 2171 56 5843
DOOLY 1911 35 2159
DOUGHERTY 24577 280 10454
DOUGLAS 42809 837 25451
EARLY 2437 28 2722
ECHOLS 167 18 1256
EFFINGHAM 7720 492 23358
ELBERT 2879 66 6226
EMANUEL 2884 66 6551
EVANS 1324 35 2888
FANNIN 2571 110 12169
FAYETTE 33065 976 37952
FLOYD 12008 517 29123
FORSYTH 42203 1980 85122
FRANKLIN 1593 103 9069
FULTON 381144 6275 137240
GILMER 2932 164 13429
GLASCOCK 155 8 1403
GLYNN 15879 489 25616
GORDON 4384 244 19405
GRADY 3619 54 7034
GREENE 4088 91 7068
GWINNETT 241827 5625 166413
HABERSHAM 3563 232 16637
HALL 25031 1322 64170
HANCOCK 2985 21 1159
HARALSON 1792 125 12331
HARRIS 5457 215 14319
HART 3157 106 9464
HEARD 824 51 4516
HENRY 73276 1279 48187
HOUSTON 32232 1057 41534
IRWIN 1008 26 3134
JACKSON 7642 531 29497
JASPER 1761 61 5822
"JEFF DAVIS" 1028 48 4695
JEFFERSON 4061 44 3537
JENKINS 1266 28 2161
JOHNSON 1222 28 2850
JONES 4888 113 9965
LAMAR 2615 94 6330
LANIER 1019 48 2509
LAURENS 8073 163 14493
LEE 4558 149 12007
LIBERTY 13099 331 7959
LINCOLN 1435 36 3179
LONG 2033 95 3528
LOWNDES 20117 547 25691
LUMPKIN 3126 242 12163
MACON 2857 22 1783
MADISON 3411 200 11326
MARION 1311 38 2275
MCDUFFIE 4168 118 6169
MCINTOSH 2612 68 4016
MERIWETHER 4287 66 6524
MILLER 749 20 2066
MITCHELL 3995 33 4935
MONROE 4384 148 11060
MONTGOMERY 979 27 2960
MORGAN 3355 122 8230
MURRAY 2302 144 12943
MUSCOGEE 49529 965 30049
NEWTON 29794 576 23869
OCONEE 8162 411 16595
OGLETHORPE 2436 102 5593
PAULDING 29704 1156 54525
PEACH 5920 123 6502
PICKENS 2808 233 14075
PIERCE 1100 49 7899
PIKE 1505 88 9127
POLK 3658 152 13589
PULASKI 1217 37 2805
PUTNAM 3448 116 8291
QUITMAN 497 5 604
RABUN 1984 110 7474
RANDOLPH 1671 12 1391
RICHMOND 59124 1111 26781
ROCKDALE 31244 430 13012
SCHLEY 462 13 1800
SCREVEN 2661 51 3916
SEMINOLE 1254 19 2611
SPALDING 11784 275 18057
STEPHENS 2385 132 9368
STEWART 1182 7 801
SUMTER 6318 100 5732
TALBOT 2114 16 1392
TALIAFERRO 561 7 360
TATTNALL 2061 69 6053
TAYLOR 1387 34 2418
TELFAIR 1487 21 2825
TERRELL 2376 36 2004
THOMAS 8708 191 12954
TIFT 5322 177 10784
TOOMBS 2939 103 7872
TOWNS 1550 45 6384
TREUTLEN 952 24 2101
TROUP 11578 328 18143
TURNER 1410 33 2349
TWIGGS 2044 30 2370
UNION 2801 108 12651
UPSON 4201 96 8608
WALKER 5769 411 23174
WALTON 12682 571 37842
WARE 4211 116 9865
WARREN 1469 16 1166
WASHINGTON 4730 66 4663
WAYNE 2687 104 9987
WEBSTER 639 3 748
WHEELER 689 13 1583
WHITE 2411 183 12222
WHITFIELD 10670 440 25636
WILCOX 862 16 2403
WILKES 2160 46 2823
WILKINSON 2075 31 2664
WORTH 2395 60 6830
