COUNTY DEM OTH REP
COUNTY Obama_D Other_O Romney_R
ADAMS 3976 248 6865
ALLEN 17913 820 29502
ASHLAND 8281 530 15519
ASHTABULA 23803 963 18298
ATHENS 18307 788 8543
AUGLAIZE 5831 405 17169
BELMONT 14156 650 16758
BROWN 7107 369 11916
BUTLER 62388 2627 105176
CARROLL 5543 404 7315
CHAMPAIGN 7044 332 11045
CLARK 31298 1030 31816
CLERMONT 30458 1607 64208
CLINTON 5791 344 12009
COLUMBIANA 19821 979 25251
COSHOCTON 6940 409 8390
CRAWFORD 7507 444 11852
CUYAHOGA 447232 6398 190651
DARKE 6826 467 18108
DEFIANCE 7732 380 10176
DELAWARE 37292 1275 60194
ERIE 21793 660 16952
FAIRFIELD 29890 1144 41034
FAYETTE 4249 151 6620
FRANKLIN 346336 8660 215987
FULTON 9073 457 11738
GALLIA 4557 288 7750
GEAUGA 19659 749 30589
GREENE 32256 1415 49819
GUERNSEY 7450 371 8993
HAMILTON 219927 5641 193326
HANCOCK 12564 687 22443
HARDIN 4619 341 7489
HARRISON 2950 172 4019
HENRY 5658 321 8257
HIGHLAND 6049 380 11410
HOCKING 6157 286 6285
HOLMES 2608 226 8702
HURON 11006 597 13060
JACKSON 5166 311 7904
JEFFERSON 15385 650 17034
KNOX 10470 652 17266
LAKE 57680 1980 58744
LAWRENCE 10744 438 14651
LICKING 34201 1686 45503
LOGAN 7062 442 13633
LORAIN 81464 2384 59405
LUCAS 136616 3662 69940
MADISON 6845 330 10342
MAHONING 77059 1610 42641
MARION 12504 583 14265
MEDINA 38785 1580 50418
MEIGS 4027 296 5895
MERCER 4745 355 16561
MIAMI 16383 947 34606
MONROE 3035 199 3548
MONTGOMERY 137139 4298 124841
MORGAN 2814 136 3179
MORROW 5933 386 9865
MUSKINGUM 17001 820 19264
NOBLE 2131 178 3563
OTTAWA 11503 415 10538
PAULDING 3538 236 5354
PERRY 7033 324 7627
PICKAWAY 9684 402 14037
PIKE 5684 212 5685
PORTAGE 39453 1544 35242
PREBLE 6211 423 13535
PUTNAM 4318 333 13721
RICHLAND 22687 1161 33867
ROSS 14569 506 15008
SANDUSKY 14541 698 13755
SCIOTO 15077 592 15492
SENECA 11353 666 13243
SHELBY 6343 381 17142
STARK 89432 3464 88581
SUMMIT 153037 3674 111000
TRUMBULL 61672 1768 38279
TUSCARAWAS 18407 964 22242
UNION 8805 473 16289
"VAN WERT" 4029 252 9585
VINTON 2436 175 2856
WARREN 32909 1534 76561
WASHINGTON 11651 564 17284
WAYNE 19808 1005 30251
WILLIAMS 7266 393 10047
WOOD 32802 1442 29704
WYANDOT 4137 255 6180
