COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ANDERSON 5041 131 73 9835
ANDREWS 876 28 29 3091
ANGELINA 9957 245 124 16648
ARANSAS 2637 182 38 5390
ARCHER 993 36 17 2951
ARMSTRONG 150 11 5 772
ATASCOSA 4322 130 63 6231
AUSTIN 2407 112 47 6661
BAILEY 488 6 7 1589
BANDERA 1426 157 77 5613
BASTROP 6973 871 154 10310
BAYLOR 663 26 10 1285
BEE 3795 66 40 4429
BELL 21011 728 344 41208
BEXAR 185158 9790 2165 215613
BLANCO 811 140 39 2777
BORDEN 62 5 3 283
BOSQUE 1930 65 30 4745
BOWIE 11662 238 95 18325
BRAZORIA 24883 1212 479 53445
BRAZOS 12359 1351 367 32864
BREWSTER 1349 306 58 1867
BRISCOE 224 1 3 544
BROOKS 1854 14 7 556
BROWN 3138 125 48 9609
BURLESON 2235 60 29 3542
BURNET 3557 292 97 9286
CALDWELL 3872 266 71 5216
CALHOUN 2766 43 30 3724
CALLAHAN 1174 34 32 3656
CAMERON 33214 699 344 27800
CAMP 1625 31 7 2121
CARSON 480 29 17 2216
CASS 4618 68 38 6295
CASTRO 727 7 13 1607
CHAMBERS 2888 111 38 6769
CHEROKEE 4755 122 61 9599
CHILDRESS 602 11 7 1506
CLAY 1460 39 26 3112
COCHRAN 344 11 9 807
COKE 355 14 9 1137
COLEMAN 853 27 11 2687
COLLIN 42884 3195 1162 128179
COLLINGSWORTH 429 6 6 974
COLORADO 2229 84 23 4913
COMAL 7131 787 231 24599
COMANCHE 1636 33 19 3334
CONCHO 268 10 7 818
COOKE 3153 124 64 10128
CORYELL 4493 202 71 10321
COTTLE 241 3 11 502
CRANE 387 16 5 1246
CROCKETT 467 2 5 924
CROSBY 705 23 4 1270
CULBERSON 577 12 10 413
DALLAM 341 11 7 1385
DALLAS 275308 11671 3715 322345
DAWSON 1463 17 22 3337
"DEAF SMITH" 1240 27 30 3687
DELTA 726 16 15 1143
DENTON 40144 3430 1045 102171
DEWITT 1570 53 19 4541
DICKENS 284 3 5 589
DIMMIT 2678 20 23 1032
DONLEY 360 18 8 1333
DUVAL 3990 22 8 1010
EASTLAND 1774 56 53 4531
ECTOR 9425 378 205 22893
EDWARDS 261 6 7 663
"EL PASO" 83848 2840 780 57574
ELLIS 10629 377 210 26091
ERATH 2804 129 56 8126
FALLS 2417 33 26 3239
FANNIN 4102 110 54 6074
FAYETTE 2542 132 55 6658
FISHER 884 11 9 968
FLOYD 580 8 2 1830
FOARD 263 5 2 286
"FORT BEND" 47569 1953 420 73567
FRANKLIN 1018 22 12 2420
FREESTONE 2316 46 32 4247
FRIO 2317 23 14 1774
GAINES 723 23 22 2691
GALVESTON 40020 2150 416 50397
GARZA 454 8 6 1302
GILLESPIE 1511 220 93 8096
