COUNTY DEM OTH REP
COUNTY Obama_D Other_O Romney_R
ALAMANCE 28875 731 38170
ALEXANDER 4611 332 12253
ALLEGHANY 1583 94 3390
ANSON 7019 71 4166
ASHE 4116 252 8242
AVERY 1882 111 5766
BEAUFORT 9435 208 13977
BERTIE 6695 41 3387
BLADEN 8062 147 7748
BRUNSWICK 22038 581 34743
BUNCOMBE 70625 2370 54701
BURKE 13701 576 22267
CABARRUS 32849 1160 49557
CALDWELL 10898 605 23229
CAMDEN 1508 87 3109
CARTERET 10301 441 24775
CASWELL 5348 97 5594
CATAWBA 24069 994 44538
CHATHAM 18361 408 16665
CHEROKEE 3378 211 9278
CHOWAN 3556 58 3891
CLAY 1579 90 3973
CLEVELAND 17062 485 25793
COLUMBUS 11050 252 12941
CRAVEN 18763 479 26928
CUMBERLAND 75792 1183 50666
CURRITUCK 3562 246 7496
DARE 7393 333 10248
DAVIDSON 20624 928 49383
DAVIE 5735 248 14687
DUPLIN 9033 143 11416
DURHAM 111224 1742 33769
EDGECOMBE 18310 116 8546
FORSYTH 92323 1978 79768
FRANKLIN 13436 350 14603
GASTON 33171 1174 56138
GATES 2786 46 2564
GRAHAM 1119 78 2750
GRANVILLE 13598 272 12405
GREENE 3778 47 4411
GUILFORD 146365 2698 104789
HALIFAX 17176 140 8763
HARNETT 17331 519 25565
HAYWOOD 11833 508 15633
HENDERSON 18642 756 32994
HERTFORD 7843 68 3007
HOKE 10076 194 6819
HYDE 1163 27 1193
IREDELL 26076 990 49299
JACKSON 8095 352 8254
JOHNSTON 27290 974 48427
JONES 2352 41 2837
LEE 10801 280 13158
LENOIR 13948 158 13980
LINCOLN 11024 484 25267
MACON 5712 314 10835
MADISON 4484 225 5404
MARTIN 6583 74 5995
MCDOWELL 6031 293 11775
MECKLENBURG 272262 4970 171668
MITCHELL 1838 121 5806
MONTGOMERY 4706 121 6404
MOORE 16505 415 29495
"NASH" 24313 337 23842
"NEW HANOVER" 48668 1575 53385
NORTHAMPTON 7232 41 3483
ONSLOW 18490 702 32243
ORANGE 53901 1317 21539
PAMLICO 2647 64 4051
PASQUOTANK 10282 192 7633
PENDER 9632 278 14617
PERQUIMANS 2759 71 3822
PERSON 8418 192 10496
PITT 41843 799 36214
POLK 4013 140 6236
RANDOLPH 14773 782 45160
RICHMOND 9904 181 9332
ROBESON 24988 448 17510
ROCKINGHAM 16351 442 25227
ROWAN 22650 887 38775
RUTHERFORD 9374 374 18954
SAMPSON 11566 186 14422
SCOTLAND 8215 110 5831
STANLY 8431 382 19904
STOKES 6018 364 15237
SURRY 9112 435 19923
SWAIN 2618 134 2976
TRANSYLVANIA 6826 303 9634
TYRRELL 837 16 930
UNION 32473 1148 61107
VANCE 13323 102 7429
WAKE 267262 7569 211596
WARREN 6978 44 3140
WASHINGTON 3833 44 2622
WATAUGA 13002 811 13861
WAYNE 23314 397 27641
WILKES 8148 482 20515
WILSON 20875 280 17954
YADKIN 3957 278 12578
YANCEY 3981 192 5278
