COUNTY DEM LIB OTH REP
COUNTY Biden_D Jorgensen_L Other_O Trump_R
ADAIR 1392 60 35 7276
ALLEN 1642 99 36 7586
ANDERSON 3347 183 53 9657
BALLARD 825 32 12 3356
BARREN 5127 201 73 14654
BATH 1573 44 24 3986
BELL 1789 78 37 8140
BOONE 20897 981 264 44811
BOURBON 3296 106 51 6190
BOYD 7083 287 76 14295
BOYLE 5298 210 87 8872
BRACKEN 800 27 19 3398
BREATHITT 1301 52 43 4265
BRECKINRIDGE 2350 103 43 7701
BULLITT 10551 563 142 30708
BUTLER 1079 63 20 4960
CALDWELL 1433 58 31 4906
CALLOWAY 5794 227 71 11351
CAMPBELL 19373 763 215 28482
CARLISLE 463 15 1 2159
CARROLL 1116 44 21 2954
CARTER 2642 107 61 8775
CASEY 918 53 21 6179
CHRISTIAN 8296 348 139 15080
CLARK 6004 226 87 11811
CLAY 831 40 42 6677
CLINTON 603 30 19 4280
CRITTENDEN 731 47 13 3451
CUMBERLAND 508 21 11 2769
DAVIESS 17283 670 264 31023
EDMONSON 1227 60 16 4828
ELLIOTT 712 18 19 2246
ESTILL 1355 64 19 5100
FAYETTE 90566 2382 871 58845
FLEMING 1474 37 21 5534
FLOYD 3884 111 106 12250
FRANKLIN 12650 365 144 12900
FULTON 791 18 7 1605
GALLATIN 822 58 14 2955
GARRARD 1830 86 33 6754
GRANT 2205 139 37 8725
GRAVES 3559 187 66 13206
GRAYSON 2400 85 45 9453
GREEN 920 29 25 4838
GREENUP 4873 178 61 13064
HANCOCK 1351 67 24 3145
HARDIN 18101 753 255 29832
HARLAN 1494 81 29 9367
HARRISON 2400 85 34 6334
HART 1908 76 40 6345
HENDERSON 7639 244 75 12730
HENRY 2142 86 36 5843
HICKMAN 458 21 6 1714
HOPKINS 5439 226 87 15757
JACKSON 605 33 22 5453
JEFFERSON 228288 4779 2407 150619
JESSAMINE 8567 447 141 17096
JOHNSON 1608 77 57 8450
KENTON 32265 1360 360 48123
KNOTT 1412 28 32 4779
KNOX 2114 109 38 11012
LARUE 1504 86 26 5685
LAUREL 4474 282 107 23234
LAWRENCE 1238 50 34 5633
LEE 459 25 16 2159
LESLIE 446 23 21 4321
LETCHER 1799 69 41 7226
LEWIS 823 61 13 4986
LINCOLN 2254 129 41 8489
LIVINGSTON 939 44 10 4010
LOGAN 3094 145 40 9067
LYON 1092 25 11 3100
MADISON 15580 726 244 27353
MAGOFFIN 1213 40 19 4174
MARION 2722 55 38 6113
MARSHALL 4071 165 68 13297
MARTIN 403 17 14 3496
MASON 2362 85 34 5477
MCCRACKEN 11190 376 135 21820
MCCREARY 725 34 12 5664
MCLEAN 1074 56 19 3633
MEADE 3632 235 59 10184
MENIFEE 750 24 17 2311
MERCER 3033 140 56 8506
METCALFE 975 56 22 3959
MONROE 657 30 15 4628
MONTGOMERY 3630 154 60 8993
MORGAN 1172 27 39 4297
MUHLENBERG 3544 138 51 10496
NELSON 7188 268 86 15703
NICHOLAS 955 27 6 2408
OHIO 2404 99 42 8582
OLDHAM 14504 601 180 22651
OWEN 1098 46 20 4292
OWSLEY 216 6 3 1670
PENDLETON 1322 56 32 5515
PERRY 2350 98 40 8118
PIKE 4862 154 73 20279
POWELL 1367 67 30 4041
PULASKI 5664 323 109 25441
ROBERTSON 253 6 3 884
ROCKCASTLE 1134 56 16 6577
ROWAN 3880 137 47 5994
RUSSELL 1329 84 20 7506
SCOTT 10564 480 142 17764
SHELBY 8076 301 111 15054
SIMPSON 2681 128 35 5888
SPENCER 2530 124 38 8737
TAYLOR 2961 119 54 9376
TODD 1202 58 31 4060
TRIGG 1791 75 22 5487
TRIMBLE 1012 60 20 3227
UNION 1529 67 15 4965
WARREN 22477 823 261 31790
WASHINGTON 1644 72 25 4482
WAYNE 1700 69 41 7430
WEBSTER 1412 54 19 4506
WHITLEY 2552 177 51 12567
WOLFE 839 21 22 2097
WOODFORD 6530 237 82 8362
