COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
"TOM GREEN" 11158 341 27362
TRAVIS 254017 6716 136981
TRINITY 1925 57 4095
TYLER 2166 100 5644
UPSHUR 3790 152 11222
UPTON 288 11 898
UVALDE 4126 50 4590
"VAL VERDE" 6982 86 5752
"VAN ZANDT" 4505 156 15734
VICTORIA 9832 221 19878
WALKER 7334 189 11623
WALLER 7153 90 8265
WARD 899 36 2667
WASHINGTON 4034 167 10176
WEBB 33452 250 13119
WHARTON 4937 50 9431
WHEELER 314 13 1918
WICHITA 13868 383 31731
WILBARGER 1196 30 3283
WILLACY 3409 38 1456
WILLIAMSON 67691 2389 88323
WILSON 5362 100 10904
WINKLER 477 26 1529
WISE 4471 195 15973
WOOD 4010 116 13658
YOAKUM 450 19 1989
YOUNG 1303 60 5942
ZAPATA 1939 8 919
ZAVALA 3263 17 596
