COUNTY DEM OTH REP
COUNTY Kerry_D Other_O Bush_R
ATLANTIC 55746 864 49487
BERGEN 207666 2745 189833
BURLINGTON 110411 1609 95936
CAMDEN 137765 1741 81427
"CAPE MAY" 21475 455 28832
CUMBERLAND 27875 948 24362
ESSEX 203681 2293 83374
GLOUCESTER 66835 1096 60033
HUDSON 127447 1353 60646
HUNTERDON 26050 742 39888
MERCER 91580 1326 56604
MIDDLESEX 166628 2685 126492
MONMOUTH 133773 2516 163650
MORRIS 98066 1847 135241
OCEAN 99839 2263 152204
PASSAIC 94962 1149 75200
SALEM 13749 311 15721
SOMERSET 66476 1295 72508
SUSSEX 23990 900 44506
UNION 119372 1498 82517
WARREN 18044 622 29542
