COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
"CARSON CITY" 7354 605 409 11084
CHURCHILL 2191 189 206 6237
CLARK 196100 7942 7224 170932
DOUGLAS 5837 593 351 11193
ELKO 2542 221 392 11025
ESMERALDA 116 14 28 333
EUREKA 150 15 40 632
HUMBOLDT 1128 137 127 3638
LANDER 395 37 68 1619
LINCOLN 461 40 83 1372
LYON 3955 382 385 7270
MINERAL 916 81 69 1227
NYE 4525 332 420 6904
PERSHING 476 46 59 1221
STOREY 666 79 39 1014
WASHOE 52097 4209 2355 63640
"WHITE PINE" 1069 86 154 2234
