COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
ATLANTIC 60924 3677 52690
BERGEN 231211 12556 175529
BURLINGTON 121725 7946 89272
CAMDEN 146717 7244 72631
"CAPE MAY" 18750 1526 28446
CUMBERLAND 27771 1780 24453
ESSEX 240837 6921 63176
GLOUCESTER 66870 5128 67544
HUDSON 163917 6415 49043
HUNTERDON 28898 3226 38712
MERCER 104775 5561 46193
MIDDLESEX 193044 10105 122953
MONMOUTH 137181 10473 166723
MORRIS 115249 9096 126071
OCEAN 87150 8133 179079
PASSAIC 116759 5141 72902
SALEM 11904 1209 16381
SOMERSET 85689 5898 65505
SUSSEX 24212 3256 46658
UNION 147414 6447 68114
WARREN 17281 2097 29858
