COUNTY DEM LIB REP
COUNTY Biden_D Jorgensen_L Trump_R
BELKNAP 16894 598 20899
CARROLL 16649 422 16150
CHESHIRE 25522 800 17898
COOS 7640 258 8617
GRAFTON 33180 881 19905
HILLSBOROUGH 122344 3972 104625
MERRIMACK 48533 1561 39711
ROCKINGHAM 100064 2876 95858
STRAFFORD 41721 1386 30489
SULLIVAN 12390 482 11508
