COUNTY DEM OTH REP
COUNTY Obama_D Other_O Romney_R
BARNSTABLE 70822 1847 60446
BERKSHIRE 48843 1391 14252
BRISTOL 142962 4795 93752
DUKES 7978 198 2792
ESSEX 210302 5575 150480
FRANKLIN 27072 1342 9344
HAMPDEN 123619 3388 73392
HAMPSHIRE 57359 2782 21480
MIDDLESEX 471804 15045 267321
"NANTUCKET" 3830 103 2187
NORFOLK 202714 5416 148393
PLYMOUTH 131845 3600 121086
SUFFOLK 223896 5203 59999
WORCESTER 198244 7478 163390
