COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 4826 217 153 3920
ASHLAND 4356 440 56 3038
BARRON 8928 1009 119 9848
BAYFIELD 4427 511 55 3266
BROWN 49096 3311 1104 54258
BUFFALO 3237 316 50 3038
BURNETT 3626 499 59 3967
CALUMET 8202 658 250 10837
CHIPPEWA 12102 973 263 12835
CLARK 5931 521 236 7461
COLUMBIA 12636 790 174 11987
CRAWFORD 4005 309 56 3024
DANE 142317 13030 1602 75790
DODGE 14580 1098 339 21684
DOOR 6560 709 141 7810
DOUGLAS 13593 975 208 6930
DUNN 9172 1109 138 8911
"EAU CLAIRE" 24078 2461 415 20921
FLORENCE 816 48 13 1528
"FOND DU LAC" 18181 1389 471 26548
FOREST 2158 126 28 2404
GRANT 10691 858 167 10240
GREEN 7863 493 130 6790
"GREEN LAKE" 3301 282 73 5451
IOWA 5842 429 49 4221
IRON 1620 134 19 1734
JACKSON 4380 290 77 3670
JEFFERSON 15203 1361 331 19204
JUNEAU 4813 297 198 4910
KENOSHA 32429 1852 537 28891
KEWAUNEE 4670 388 143 4883
"LA CROSSE" 28455 2272 505 24327
LAFAYETTE 3710 185 32 3336
LANGLADE 4199 261 136 5125
LINCOLN 6664 509 339 6727
MANITOWOC 17667 1301 498 19358
MARATHON 26546 2021 924 28883
MARINETTE 8676 504 206 10535
MARQUETTE 3437 195 40 3522
MENOMINEE 949 47 12 225
MILWAUKEE 252329 13953 3764 163491
MONROE 7460 489 169 8217
OCONTO 7260 437 193 8706
ONEIDA 8339 805 235 9512
OUTAGAMIE 32735 2583 964 39460
OZAUKEE 15030 1235 331 31155
PEPIN 1854 152 27 1631
PIERCE 8559 1076 158 8169
POLK 8961 1084 160 9557
PORTAGE 17942 2143 461 13214
PRICE 3413 313 68 4136
RACINE 41563 2436 852 44014
RICHLAND 3837 388 74 3994
ROCK 40472 1980 485 27467
RUSK 3161 346 101 3758
SAUK 13035 858 174 11586
SAWYER 3333 398 64 3972
SHAWANO 7335 532 188 9548
SHEBOYGAN 23569 1487 497 29648
"ST. CROIX" 13077 1369 268 15240
TAYLOR 3254 318 142 5278
TREMPEALEAU 6678 409 79 5002
VERNON 6577 676 107 5684
VILAS 4706 557 101 6958
WALWORTH 15492 1582 402 22982
WASHBURN 3695 380 58 3912
WASHINGTON 18115 1563 572 41162
WAUKESHA 64319 4864 1446 133105
WAUPACA 8787 822 215 12980
WAUSHARA 4239 310 128 5571
WINNEBAGO 33983 2963 804 38330
WOOD 15936 1384 638 17803
