COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ALAMEDA 342889 27499 4669 119279
ALPINE 265 25 15 281
AMADOR 5906 584 208 8766
BUTTE 31338 5727 1072 45584
CALAVERAS 7093 863 321 10599
COLUSA 1745 151 65 3629
"CONTRA COSTA" 224338 13067 2700 141373
"DEL NORTE" 3117 485 166 4526
"EL DORADO" 26220 3013 858 42045
FRESNO 95059 6541 1893 117342
GLENN 2498 268 150 5795
HUMBOLDT 24851 7100 802 23219
IMPERIAL 15489 608 316 12524
INYO 2652 344 106 4713
KERN 66003 3474 2168 110663
KINGS 11041 567 350 16377
LAKE 10717 1265 238 8699
LASSEN 2982 339 185 7080
"LOS ANGELES" 1710505 83731 28988 871930
MADERA 11650 1080 382 20283
MARIN 79135 8289 859 34872
MARIPOSA 2816 379 152 4727
MENDOCINO 16634 5051 453 12272
MERCED 22726 1166 424 26102
MODOC 945 122 71 2969
MONO 1788 230 57 2296
MONTEREY 67618 5059 1096 43761
"NAPA" 28097 2471 523 20633
NEVADA 17670 3287 524 25998
ORANGE 391819 26833 10954 541299
PLACER 42449 4449 1066 69835
PLUMAS 3458 456 144 6343
RIVERSIDE 202576 11678 4918 231955
SACRAMENTO 212792 17659 5480 195619
"SAN BENITO" 9131 535 150 7015
"SAN BERNARDINO" 214749 11775 6612 221757
"SAN DIEGO" 437666 33979 11253 475736
"SAN FRANCISCO" 241578 24828 1884 51496
"SAN JOAQUIN" 79776 4195 1495 81773
"SAN LUIS OBISPO" 44526 6523 978 56859
"SAN MATEO" 166757 10433 1913 80296
"SANTA BARBARA" 73411 8664 1406 71493
"SANTA CLARA" 332490 19072 7817 188750
"SANTA CRUZ" 66618 10844 1261 29627
SHASTA 20127 2131 1008 43278
SIERRA 540 86 49 1172
SISKIYOU 6323 872 426 12198
SOLANO 75116 3869 1146 51604
SONOMA 117295 14324 1858 63529
STANISLAUS 56448 3398 1233 67188
SUTTER 8416 594 204 17350
TEHAMA 6507 697 380 13270
TRINITY 1932 396 129 3340
TULARE 33006 1834 908 54070
TUOLUMNE 9359 949 247 13172
VENTURA 133258 10235 3026 136173
YOLO 33747 4107 525 23057
YUBA 5546 507 236 9838
