COUNTY DEM LIB OTH REP
COUNTY Biden_D Jorgensen_L Other_O Trump_R
ADAIR 1387 62 74 5585
ALFALFA 232 31 21 1978
ATOKA 765 49 18 4557
BEAVER 190 15 5 1968
BECKHAM 1048 100 33 6767
BLAINE 688 44 33 3136
BRYAN 3323 230 79 12344
CADDO 2670 97 79 7013
CANADIAN 16742 1168 480 43550
CARTER 4470 196 114 14699
CHEROKEE 6027 320 144 11223
CHOCTAW 1082 34 18 4698
CIMARRON 70 10 4 970
CLEVELAND 49827 2278 996 66677
COAL 374 34 25 2091
COMANCHE 13747 699 280 20905
COTTON 393 34 28 2117
CRAIG 1217 88 41 4686
CREEK 6577 438 196 23294
CUSTER 2369 197 65 8060
DELAWARE 3472 136 80 13557
DEWEY 214 12 9 2124
ELLIS 162 18 5 1688
GARFIELD 4919 371 170 16970
GARVIN 1865 115 64 8878
GRADY 4144 287 132 18538
GRANT 280 24 6 1916
GREER 328 24 16 1605
HARMON 177 6 3 747
HARPER 136 18 6 1327
HASKELL 783 37 29 4165
HUGHES 919 41 22 3875
JACKSON 1646 137 46 6392
JEFFERSON 319 26 14 2026
JOHNSTON 738 37 35 3441
KAY 4040 265 110 12834
KINGFISHER 854 64 26 5521
KIOWA 699 33 22 2673
LATIMER 762 35 15 3437
"LE FLORE" 3299 214 79 15213
LINCOLN 2609 187 79 12013
LOGAN 5455 373 138 15608
LOVE 711 36 24 3305
MAJOR 320 39 24 3084
MARSHALL 1100 50 23 4891
MAYES 3581 197 99 12749
MCCLAIN 3582 236 123 15295
MCCURTAIN 1858 64 60 9485
MCINTOSH 2031 78 54 6172
MURRAY 1156 75 51 4612
MUSKOGEE 8027 319 209 16526
NOBLE 1003 73 41 3821
NOWATA 712 54 15 3610
OKFUSKEE 896 49 35 3058
OKLAHOMA 141724 5272 2694 145050
OKMULGEE 4357 181 107 9668
OSAGE 6002 257 158 14121
OTTAWA 2686 134 73 8545
PAWNEE 1363 103 53 5267
PAYNE 10904 673 253 17813
PITTSBURG 3768 198 107 13851
PONTOTOC 4117 261 137 10805
POTTAWATOMIE 7275 431 239 20240
PUSHMATAHA 668 33 22 4016
"ROGER MILLS" 168 24 13 1629
ROGERS 9589 655 278 34031
SEMINOLE 2150 109 67 6011
SEQUOYAH 3035 152 86 12113
STEPHENS 3154 224 119 15560
TEXAS 894 89 33 4505
TILLMAN 597 24 11 2076
TULSA 108996 4859 2249 150574
WAGONER 8464 503 206 26165
WASHINGTON 5790 445 190 17076
WASHITA 598 59 34 4086
WOODS 591 66 28 2993
WOODWARD 1005 125 44 6611
