COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
BELKNAP 13517 2213 19315
CARROLL 12987 1994 14635
CHESHIRE 22064 2955 16876
COOS 6563 1112 7952
GRAFTON 28510 3671 19010
HILLSBOROUGH 99589 14555 100013
MERRIMACK 40198 5776 37674
ROCKINGHAM 79994 10993 90447
STRAFFORD 34894 5034 29072
SULLIVAN 10210 1677 10796
