COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
"DISTRICT 1" 1284 475 216 4681
"DISTRICT 10" 2194 803 214 5673
"DISTRICT 11" 2043 743 234 3960
"DISTRICT 12" 2051 691 233 4626
"DISTRICT 13" 2661 1230 199 3853
"DISTRICT 14" 1626 342 150 3750
"DISTRICT 15" 2106 1068 243 2453
"DISTRICT 16" 1969 530 206 1980
"DISTRICT 17" 2230 641 269 4564
"DISTRICT 18" 2739 1484 238 5421
"DISTRICT 19" 2350 728 254 4619
"DISTRICT 2" 2081 846 226 4235
"DISTRICT 20" 2259 839 217 3648
"DISTRICT 21" 2309 810 247 3263
"DISTRICT 22" 2656 697 262 4910
"DISTRICT 23" 1282 283 104 2961
"DISTRICT 24" 1985 631 236 5063
"DISTRICT 25" 1697 743 272 5489
"DISTRICT 26" 1608 715 398 5869
"DISTRICT 27" 2199 1014 511 6714
"DISTRICT 28" 2116 1100 711 7113
"DISTRICT 29" 2806 1628 335 4054
"DISTRICT 3" 3693 1161 236 3135
"DISTRICT 30" 1698 538 225 3622
"DISTRICT 31" 1831 535 273 3326
"DISTRICT 32" 1389 285 181 4178
"DISTRICT 33" 1765 789 354 5804
"DISTRICT 34" 1300 407 204 5243
"DISTRICT 35" 1208 588 308 4278
"DISTRICT 36" 1945 383 242 3007
"DISTRICT 37" 1821 255 227 2725
"DISTRICT 38" 2015 267 227 2467
"DISTRICT 39" 2282 383 202 2321
"DISTRICT 4" 2715 768 213 4127
"DISTRICT 40" 1024 252 119 1831
"DISTRICT 5" 1931 751 210 3545
"DISTRICT 6" 1542 494 202 3862
"DISTRICT 7" 1893 1563 353 4868
"DISTRICT 8" 1498 809 300 5371
"DISTRICT 9" 1203 478 330 4789
"DISTRICT 99" 0 0 0 0
